药名,性味,归经
麻黄,辛，微苦，温,肺，膀胱
桂枝,辛，甘，温,肺，心，膀胱
紫苏,辛，温,肺，脾
生姜,辛，微温,肺，脾
香薷,辛，微温,肺，胃，脾
荆芥,辛，微温,肺，肝
防风,辛，甘，微温,膀胱，肝，脾
羌活,辛，苦，温,膀胱，肾
藁本,辛，温,膀胱，肝
白芷,辛，温,肺，胃
细辛,辛，温，有小毒,肺，肾，心
苍耳子,辛，苦，温，有小毒,肺
辛夷,辛，温,肺，胃
葱白,辛，温,肺，胃
胡荽,辛，温,肺，胃
柽柳,辛，平,肺，胃，心
鹅不食草,辛，温,肺，肝
薄荷,辛，凉,肺，肝
牛蒡子,辛，苦，寒,肺，胃
蝉蜕,甘，寒,肺，肝
桑叶,甘，苦，寒,肺，肝
菊花,辛，甘，苦，微寒,肺，肝
蔓荆子,辛，苦，微寒,膀胱，肝，胃
柴胡,苦，辛，微寒,肝，胆
升麻,辛，微甘，微寒,肺，脾，胃，大肠
葛根,甘，辛，凉,脾，胃
淡豆豉,甘，辛，凉,肺，胃
浮萍,辛，寒,肺，膀胱
木贼,甘，苦，平,肺，肝
石膏,辛，甘，大寒,肺，胃
知母,苦，甘，寒,肺，胃，肾
寒水石,咸，寒,辛，胃，肾
芦根,甘，寒,肺，胃
天花粉,甘，微苦，微寒,肺，胃
竹叶,甘，辛，淡，寒,心，胃，小肠
淡竹叶,甘，淡，寒,心，胃，小肠
莲子心,苦，寒,心，肾
熊胆,苦，寒,肝，胆，心
鸭趾草,甘，苦，寒,肺，胃，膀胱
栀子,苦，寒,心，肝，肺，胃，三焦
夏枯草,辛，苦，寒,肝，胆
决明子,甘，苦，咸，微寒,肝，肾，大肠
谷精草,辛，甘，凉,肝，胃
密蒙花,甘，微寒,肝
青葙子,苦，微寒,肝
黄芩,苦，寒,肺，胃，胆，大肠
黄连,苦，寒,心，肝，胃，大肠
黄柏,苦，寒,肾，膀胱，大肠
龙胆,苦，寒,肝，胆，膀胱
苦参,苦，寒,辛，肝，胃，大肠，膀胱
白鲜皮,苦，寒,脾，胃
椿皮,苦，涩，寒,大肠，肝
金银花,甘，寒,肺，心，胃
连翘,苦，微寒,肺，心，胆
大青叶,苦，大寒,心，肺，胃
板蓝根,苦，寒,心，胃
青黛,咸，寒,肝，肺
贯众,苦，微寒；有小毒,肝，脾
三丫苦,苦，寒,心
蒲公英,苦，甘，寒,肝，胃
紫花地丁,苦，寒,心，肝
蚤休,苦，微寒；有小毒,肝
木芙蓉叶,辛，平,心，肝，肺
野菊花,苦，辛，微寒,肺，肝
千里光,苦，寒,肝
四季青,苦，涩，寒,肺，心
鱼腥草,辛，微寒,肺
金荞麦,苦，微寒,肺，脾，胃 
穿心莲,苦，寒,肺，胃，大肠，小肠
半边莲,甘，淡，寒,心，小肠，肺
半枝莲,辛，苦，寒,肺，肝，肾
山慈菇,辛，寒；有小毒,肝，胃
漏芦,苦，寒,胃
白花蛇舌草,苦，甘，寒,胃，大肠，小肠
红藤,苦，平,大肠，肝
败酱草,辛，苦，微寒,肝，胃，大肠
土茯苓,甘，淡，平,肝，胃
白蔹,苦，辛，微寒,心，胃
白头翁,苦，寒,大肠
马齿苋,酸，寒,肝，大肠
鸦胆子,苦，寒；有小毒,大肠，肝
秦皮,苦，涩，寒,大肠，肝，胆
铁苋,苦，涩，凉,大肠，肝
地棉草,苦，辛，平,肝，胃，大肠
射干,苦，寒,肺
山豆根,苦，寒,肺，胃
马勃,辛，平,肺
橄榄,甘，酸，平,肺
余甘子,甘，酸，涩，凉,肺，脾，胃
金果榄,苦，寒,肺，大肠
朱砂根,苦，辛，凉,肺，大肠
木蝴蝶,苦，甘，凉,肺，肝，胃
土牛膝,苦，酸，平,肺，肝
胖大海,甘，寒,肺，大肠
肿节风,辛，苦，平，有小毒,肝，肺，大肠
绿豆,甘，寒,心，胃
生地黄,甘，苦，寒,心，肝，肾
玄参,甘，苦，咸，寒,肺，胃，肾
牡丹皮,苦，辛，微寒,心，肝，肾
赤芍,苦，微寒,肝
紫草,甘，咸，寒,心，肝
水牛角,苦，咸，寒,心，肝，胃
青蒿,苦，辛，寒,肝，胆，肾
白薇,苦，咸，寒,胃，肝
地骨皮,甘，寒,肺，肝，肾
银柴胡,甘，微寒,肝，胃
胡黄连,苦，寒,心，肝，胃，大肠
大黄,苦，寒,脾，胃，大肠，肝，心
芒硝,咸，苦，寒,胃，大肠
番泻叶,甘，苦，寒,大肠
芦荟,苦，寒,肝，大肠
火麻仁,甘，平,脾，大肠
郁李仁,辛，苦，甘，平,大肠，小肠
松子仁,甘，温,肺，肝，大肠
甘遂,苦，寒，有毒,肺，肾，大肠
京大戟,苦，辛，寒，有毒,肺，肾，大肠
