方剂名称,方剂药物组成,主治,功效,日期,时间,备注：表格中不可出现合并单元格，不可出现特殊字符，否则将导致数据表无法正常展示。数据请填写在有相应列名的下方，无列名的区域内的数据将无法入库。时间格式填写时请选择正确的单元格格式：日期，具体时间格式请按照XXXX/XX/XX XX:XX书写，否则将无法入库。（为保障您上传的数据顺利入库，请选择2007及以上版本的office软件操作）
秘传牛黄清心丸,天麻4两，防风2两（去芦），牛胆南星2两半，僵蚕（炒）2两半，全蝎2两半，白附子（生用）、干天罗（即丝瓜）5钱，川乌5钱，远志（去心）2两，川山甲（蛤粉炒）3两，蝉退2两（去土），蒿虫（不拘多少）、辰砂（天葵煮）1两，雄黄1两（2味另研），犀角（镑细）5钱，蜈蚣3钱，蟾酥5分（另研），沉香3钱，细辛5钱，龙齿5钱，琥珀2钱（另研），珍珠3钱（另研），天竺黄3钱，蛤蚧1对，金箔10帖，银箔10帖。,小儿惊风，大人中风、中痰、中气，一切风痰。,,2021/5/19,2021/5/19 15:00,
秘传三仙丹,柏枝、槐角子、生矾。,咳嗽。,,2021/5/19,2021/5/19 15:00,
益气散风汤,人参3钱，黄耆3钱，甘草1钱，半夏1钱，白术5钱，柴胡2钱，茯苓3钱，枳壳5分。,气虚伤风，头痛发热，身疼腰重，骨节俱痠疼，恶风无汗。,,2021/5/19,2021/5/19 15:00,
真武汤,熟附子3钱，姜1钱，焦术2钱，茯苓2钱，归身2钱，肉桂1钱，炙甘草8分，白芍（炒）1钱5分，净枣仁（炒）2钱。,产后类中风痉症。,,2021/5/19,2021/5/19 15:00,
真武汤,茯苓3两，芍药3两，生姜3两（切），白术2两，附子1枚（炮，去皮，破8片）。,脾肾阳虚，水气内停，小便不利，四肢沉重疼痛，腹痛下利，或肢体浮肿，苔白不渴，脉沉；太阳病误汗不解，发热，心下悸，头眩，身瞤动，振振欲擗地者；少阴病腹痛，自下利者，此为有水气，其人或咳，或呕者。虚劳之人，憎寒壮热，咳嗽下利。治少阴肾证，水饮与里寒合而作嗽。,益阳气，散寒湿。散寒利水，济火而利水。,2021/5/19,2021/5/19 15:00,
益母散,生地黄1两，益母草1两，当归半两，黄耆半两。,妊娠从高坠下，腹痛下血，烦闷。,,2021/5/19,2021/5/19 15:00,
真珍散,附子2个（一生一炮，各去皮脐），半夏（汤浸21宿，洗去滑）1两半，滑石半两，成炼钟乳半两，辰砂3钱（别研）。,喜怒不常，忧思兼并，致脏气郁结，渐积涎饮，胸胀满闷，或腹疼痛，憎寒发热，吐痢交作。,,2021/5/19,2021/5/19 15:00,
真方白丸子,大半夏（汤泡7次）1两，白附子（洗净，略泡）1两，天南星（洗净，略泡）1两，天麻1两，川乌头（去皮尖，略泡）1两，全蝎（去毒，炒）1两，木香1两，枳壳（去瓤，麸炒）1两。,诸风，可常服，永无风疾隔壅之患。中风痰涎壅盛，口不语，半身不遂，及小儿惊风潮搐。,,2021/5/19,2021/5/19 15:00,
秘传加减省风汤,陈皮、半夏、茯苓、甘草、羌活、防风、黄芩、白芷、白术、红花（有死血者加之）。,中风。,,2021/5/19,2021/5/19 15:00,
秘传加减调中汤,苍术、厚朴、陈皮、甘草、半夏、白茯苓、木香、砂仁、枳壳各等分。,腹痛。,,2021/5/19,2021/5/19 15:00,
秘传加减理中汤,人参、白术、干姜、甘草、干葛、肉桂、陈皮、半夏、茯苓、细辛。,中寒，手足厥冷，或腹痛呕吐，甚则晕倒，昏迷不省人事，脉沉迟无力者。,,2021/5/19,2021/5/19 15:00,
破阴丹,硫黄（舶上者）1两，水银1两，陈皮（去白）半两，青皮（去白）半两（为末）。,伤寒时疫，阴中伏阳。身虽大寒，反不欲近衣，胸满恶心，头痛脊疼，指末虽冷而内热烦躁，舌苔绛底浮白，甚或嫩红胖大。,,2021/5/19,2021/5/19 15:00,
盏落散,米壳（去顶膈净）2两，柴胡5钱，桔梗5钱，甘草5钱。,偏正头痛不可忍。,,2021/5/19,2021/5/19 15:00,
益气养荣汤,当归、川芎、白芍、熟地、人参、白术、白茯苓、甘草、桔梗、橘皮、贝母、香附、黄耆、柴胡。,气血损伤，四肢颈项等处患肿，不问软硬赤白痛否，日晡发热，或溃而不敛者。,止咳嗽，补气血。,2021/5/19,2021/5/19 15:00,
秘方乌金散,锦纹大黄4两半，广木香4两半。,男子妇人脐腹痛。,去脏腑积疾。,2021/5/19,2021/5/19 15:00,
